Group,Subgroup,Week,Time Period Label,Time Period Start Date,Time Period End Date,Value
,30 - 39 years,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,47.1
,40 - 49 years,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,48.7
,50 - 59 years,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,49.4
,60 - 69 years,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,45.5
,70 - 79 years,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,40.8
,80 years and above,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,34.6
,Male,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,41.9
,Female,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,49.2
,Hispanic or Latino,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,44.4
,"Non-Hispanic White, single race",9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,45.9
,"Non-Hispanic Black, single race",9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,44.2
,"Non-Hispanic Asian, single race",9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,40.9
,"Non-Hispanic, other races and multiple races",9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,56.6
,Less than a high school diploma,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,45.8
,High school diploma or GED,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,42.2
,Some college/Associates degree,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,47.8
,Bachelors degree or higher,9,June 25 - June 30,06/25/2020 12:00:00 AM,06/30/2020 12:00:00 AM,46.8
,18 - 29 years,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,39.3
,30 - 39 years,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,47.3
,40 - 49 years,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,47.5
,50 - 59 years,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,47.6
,60 - 69 years,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,44.7
,70 - 79 years,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,38.7
,80 years and above,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,37.2
,Male,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,40.2
,Female,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,48.4
,Hispanic or Latino,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,42.4
,"Non-Hispanic White, single race",10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,45.2
,"Non-Hispanic Black, single race",10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,44.6
,"Non-Hispanic Asian, single race",10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,37.8
,"Non-Hispanic, other races and multiple races",10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,49.4
,Less than a high school diploma,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,41.2
,High school diploma or GED,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,39.6
,Some college/Associates degree,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,47.7
,Bachelors degree or higher,10,July 2 - July 7,07/02/2020 12:00:00 AM,07/07/2020 12:00:00 AM,46.8
,18 - 29 years,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,41.5
,30 - 39 years,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,47.6
,40 - 49 years,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,48.6
,50 - 59 years,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,49.1
,60 - 69 years,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,44.6
,70 - 79 years,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,37
,80 years and above,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,35.3
,Male,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,41.3
,Female,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,48.6
,Hispanic or Latino,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,44.7
,"Non-Hispanic White, single race",11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,44.4
,"Non-Hispanic Black, single race",11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,45
,"Non-Hispanic Asian, single race",11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,46
,"Non-Hispanic, other races and multiple races",11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,56.1
,Less than a high school diploma,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,41.7
,High school diploma or GED,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,39.7
,Some college/Associates degree,11,July 9 - July 14,07/09/2020 12:00:00 AM,07/14/2020 12:00:00 AM,49.2
